Race,RaceDate,RaceTime,Racecourse,RaceDistance,Jockey,Trainer,Horse,FinishingPosition,DistanceBeaten,TimeBeaten
THE BETFAIR SAFER GAMBLING TOOLS NURSERY HANDICAP STAKES (CLASS6),9/28/2024,1650,Chelmsford City,1540,Joe Leavy,Richard Hannon,Fregola (GB),8,4.77,0.74
THE EDINBURGH GIN JUMP JOCKEYS CHALLENGE HANDICAP STAKES (CLASS4)(to be ridden by professional jump jockeys) (DIV I),9/14/2024,1715,Chester,2703,Laura Coughlan,Tim Easterby,Masekela (IRE),8,16,3.07
THE EVERY RACE LIVE ON RACING TV HANDICAP STAKES (CLASS 6),7/18/2024,1450,Hamilton Park,1326,Joe Fanning,Ann Duffield,Mr Trevor (IRE),8,8.5,1.58
THE GO RACING IN YORKSHIRE FUTURE STARS APPRENTICE HANDICAPSTAKES (CLASS 5),10/19/2024,1330,Catterick Bridge,3052,Jack Mitchell,Alex Hales,King Me (GB),9,30.77,6.23
THE EDINBURGH GIN JUMP JOCKEYS CHALLENGE HANDICAP STAKES (CLASS4)(to be ridden by professional jump jockeys) (DIV I),9/14/2024,1715,Chester,2703,Robert Dunne,Declan Carroll,Tobetso (IRE),9,53,10.44
THE EVERY RACE LIVE ON RACING TV HANDICAP STAKES (CLASS 6),7/18/2024,1450,Hamilton Park,1326,James Sullivan,Ruth Carr,Hard Solution (GB),9,9.25,1.71
THE BETFAIR SAFER GAMBLING TOOLS NURSERY HANDICAP STAKES (CLASS6),9/28/2024,1650,Chelmsford City,1540,Sean Dylan Bowen,Kevin Frost,Twilight Poppy (GB),9,5.02,0.78
THE GET RACEDAY READY MAIDEN STAKES (CLASS 4) (GBB RACE),10/10/2024,1830,Southwell,1554,Connor Planas,Des Donovan,Gibraltar Le Bleu (IRE),9,18,3.02
THE BETFAIR SAFER GAMBLING TOOLS NURSERY HANDICAP STAKES (CLASS6),9/28/2024,1650,Chelmsford City,1540,Jonny Peate,Amy Murphy,Poke The Bear (IRE),10,5.77,0.89
THE EDINBURGH GIN JUMP JOCKEYS CHALLENGE HANDICAP STAKES (CLASS4)(to be ridden by professional jump jockeys) (DIV I),9/14/2024,1715,Chester,2703,Jamie Hamilton,Richard Fahey,Furzig (GB),10,69,13.57
THE GO RACING IN YORKSHIRE FUTURE STARS APPRENTICE HANDICAPSTAKES (CLASS 5),10/19/2024,1330,Catterick Bridge,3052,Shay Farmer,Tracy Waggott,Bamboo Bay (IRE),10,101.77,20.47
THE BETFAIR SAFER GAMBLING TOOLS NURSERY HANDICAP STAKES (CLASS6),9/28/2024,1650,Chelmsford City,1540,Laura Coughlan,Mark Usher,Ardads Dream (GB),11,9.77,1.6
THE BETFAIR SAFER GAMBLING TOOLS NURSERY HANDICAP STAKES (CLASS6),9/28/2024,1650,Chelmsford City,1540,Hayley Turner,Jamie Osborne,Top Biller (GB),12,14.77,2.44
"THE UNIBET SUPPORTS SAFE GAMBLING ""HANDS AND HEELS"" APPRENTICEHANDICAP STAKES (CLASS 5)(Part of Racing Excellence)",5/29/2024,1742,Kempton Park,1760,Aidan Jones,James Fanshawe,Embarked (IRE),99,0,0
